dataset,distance_m,input_file,num_measurements,calibration_bias_m,output_png
1x1_72,1.0,C:\Users\karel\OneDrive\School\School\VUB\2025-2026\Jaarvakken\Bachelorproef\Code\real_data\1x1_72\20260212_142346_rd_1.0.iq.jsonl,190,1.8753,C:\Users\karel\OneDrive\School\School\VUB\2025-2026\Jaarvakken\Bachelorproef\Code\outputs\compare\1x1_72\compare_1x1_72_1.0m.png
1x1_72,2.0,C:\Users\karel\OneDrive\School\School\VUB\2025-2026\Jaarvakken\Bachelorproef\Code\real_data\1x1_72\20260212_142439_rd_2.0.iq.jsonl,190,1.8753,C:\Users\karel\OneDrive\School\School\VUB\2025-2026\Jaarvakken\Bachelorproef\Code\outputs\compare\1x1_72\compare_1x1_72_2.0m.png
1x1_72,4.0,C:\Users\karel\OneDrive\School\School\VUB\2025-2026\Jaarvakken\Bachelorproef\Code\real_data\1x1_72\20260212_143712_rd_4.0.iq.jsonl,190,1.8753,C:\Users\karel\OneDrive\School\School\VUB\2025-2026\Jaarvakken\Bachelorproef\Code\outputs\compare\1x1_72\compare_1x1_72_4.0m.png
1x1_72,6.0,C:\Users\karel\OneDrive\School\School\VUB\2025-2026\Jaarvakken\Bachelorproef\Code\real_data\1x1_72\20260212_143815_rd_6.0.iq.jsonl,190,1.8753,C:\Users\karel\OneDrive\School\School\VUB\2025-2026\Jaarvakken\Bachelorproef\Code\outputs\compare\1x1_72\compare_1x1_72_6.0m.png
1x1_72,8.0,C:\Users\karel\OneDrive\School\School\VUB\2025-2026\Jaarvakken\Bachelorproef\Code\real_data\1x1_72\20260212_145307_rd_8.0.iq.jsonl,190,1.8753,C:\Users\karel\OneDrive\School\School\VUB\2025-2026\Jaarvakken\Bachelorproef\Code\outputs\compare\1x1_72\compare_1x1_72_8.0m.png
1x1_72,10.0,C:\Users\karel\OneDrive\School\School\VUB\2025-2026\Jaarvakken\Bachelorproef\Code\real_data\1x1_72\20260212_145416_rd_10.0.iq.jsonl,190,1.8753,C:\Users\karel\OneDrive\School\School\VUB\2025-2026\Jaarvakken\Bachelorproef\Code\outputs\compare\1x1_72\compare_1x1_72_10.0m.png
2x2_72,1.0,C:\Users\karel\OneDrive\School\School\VUB\2025-2026\Jaarvakken\Bachelorproef\Code\real_data\2x2_72\20260212_141856_rd_1.0.iq.jsonl,190,1.9578,C:\Users\karel\OneDrive\School\School\VUB\2025-2026\Jaarvakken\Bachelorproef\Code\outputs\compare\2x2_72\compare_2x2_72_1.0m.png
2x2_72,2.0,C:\Users\karel\OneDrive\School\School\VUB\2025-2026\Jaarvakken\Bachelorproef\Code\real_data\2x2_72\20260212_142919_rd_2.0.iq.jsonl,190,1.9578,C:\Users\karel\OneDrive\School\School\VUB\2025-2026\Jaarvakken\Bachelorproef\Code\outputs\compare\2x2_72\compare_2x2_72_2.0m.png
2x2_72,4.0,C:\Users\karel\OneDrive\School\School\VUB\2025-2026\Jaarvakken\Bachelorproef\Code\real_data\2x2_72\20260212_143245_rd_4.0.iq.jsonl,190,1.9578,C:\Users\karel\OneDrive\School\School\VUB\2025-2026\Jaarvakken\Bachelorproef\Code\outputs\compare\2x2_72\compare_2x2_72_4.0m.png
2x2_72,6.0,C:\Users\karel\OneDrive\School\School\VUB\2025-2026\Jaarvakken\Bachelorproef\Code\real_data\2x2_72\20260212_144250_rd_6.0.iq.jsonl,190,1.9578,C:\Users\karel\OneDrive\School\School\VUB\2025-2026\Jaarvakken\Bachelorproef\Code\outputs\compare\2x2_72\compare_2x2_72_6.0m.png
